ID,Weight,starttime,endtime,profile_gender,profile_socialgrade_cie,profile_GOR,age,voted_ge_2019,pastvote_ge_2019,pastvote_EURef,ethnicity_new,ethnicity_rc,split_EXP1,split_EXP2,split_EXP3,EXP1a,EXP1b,EXP2a,EXP2b,EXP3a,EXP3b
1,.911187764,4/18/2023 7:59:36,4/18/2023 8:06:15,1,3,8,54,1,1,2,1,1,2,1,1,9,1,1,9,51,999
2,1.882167112,4/17/2023 23:12:22,4/17/2023 23:34:01,1,6,7,58,1,1,2,1,1,1,1,1,2,9,2,9,100,999
3,.818301319,4/17/2023 23:12:21,4/17/2023 23:21:23,1,2,7,51,1,7,1,1,1,2,1,2,9,1,1,9,999,100
4,.785766977,4/18/2023 7:10:19,4/18/2023 7:27:49,2,6,6,66,1,1,2,1,1,2,1,1,9,1,1,9,100,999
5,.899146358,4/17/2023 20:47:08,4/17/2023 21:05:01,1,3,6,67,1,1,2,1,1,2,2,2,9,2,9,2,999,21
6,.880103454,4/18/2023 7:22:22,4/18/2023 7:49:14,1,3,5,64,1,1,2,1,1,1,1,2,1,9,2,9,999,60
7,.672455783,4/17/2023 17:22:34,4/17/2023 17:34:24,2,1,1,66,1,1,2,1,1,1,1,1,1,9,2,9,100,999
8,1.745608734,4/17/2023 19:11:05,4/17/2023 19:18:57,1,4,6,39,1,3,1,1,1,2,2,2,9,2,9,2,999,65
9,.899146358,4/18/2023 8:35:08,4/18/2023 9:22:59,1,3,6,67,1,1,2,1,1,1,1,2,2,9,2,9,999,94
10,.541961411,4/17/2023 18:12:26,4/17/2023 18:27:01,2,5,3,52,1,2,1,7,2,2,1,1,9,2,2,9,94,999
11,.807674612,4/17/2023 17:08:40,4/17/2023 17:32:47,2,2,8,54,1,7,1,1,1,2,2,2,9,1,9,1,999,100
12,.560802936,4/17/2023 20:09:48,4/17/2023 20:33:04,2,2,5,74,1,2,1,1,1,1,2,2,2,9,9,1,999,98
13,.845172227,4/17/2023 17:28:35,4/17/2023 17:58:21,1,2,9,85,1,3,2,1,1,1,2,1,2,9,9,1,67,999
14,1.604142189,4/18/2023 7:33:23,4/18/2023 7:42:28,2,3,3,69,1,2,1,1,1,1,1,1,2,9,1,9,62,999
15,1.396101321,4/18/2023 9:47:15,4/18/2023 9:59:20,2,6,9,70,2, ,2,19, ,2,2,1,9,2,9,1,68,999
16,1.625140598,4/17/2023 17:08:22,4/17/2023 17:48:36,2,2,12,49,2, ,1,2,1,1,2,1,2,9,9,2,50,999
17,.956401703,4/17/2023 21:08:19,4/17/2023 21:24:48,1,4,2,53,1,1,2,1,1,1,1,1,2,9,1,9,23,999
18,.842684289,4/17/2023 18:37:01,4/17/2023 18:44:21,2,1,5,59,1,2,1,1,1,2,2,2,9,1,9,1,999,64
19,.882825888,4/17/2023 19:39:44,4/17/2023 20:00:48,2,2,11,74,1,4,1,1,1,1,1,2,2,9,1,9,999,70
20,.696749992,4/17/2023 19:53:50,4/17/2023 20:46:52,2,3,9,72,1,1,1,1,1,1,2,1,2,9,9,1,76,999
21,.628990755,4/17/2023 19:50:16,4/17/2023 20:14:40,1,3,7,82,1,99,2,1,1,2,1,2,9,2,2,9,999,3
22,.851670932,4/17/2023 18:51:59,4/17/2023 19:13:28,2,3,3,47,1,2,1,1,1,1,1,1,1,9,2,9,4,999
23,.821763285,4/18/2023 9:08:14,4/18/2023 9:19:53,2,3,5,78,1,1,2,1,1,2,2,2,9,2,9,2,999,10
24,.70224792,4/17/2023 21:23:31,4/17/2023 21:31:59,2,1,3,37,1,1,1,1,1,2,2,1,9,1,9,2,94,999
25,.792040738,4/18/2023 7:42:54,4/18/2023 8:01:09,1,3,4,62,1,3,1,1,1,1,2,2,2,9,9,2,999,100
26,.877444845,4/18/2023 8:02:36,4/18/2023 8:39:37,1,1,12,58,1,98,1,1,1,1,2,1,2,9,9,1,90,999
27,.561769586,4/18/2023 8:02:18,4/18/2023 8:14:55,1,3,8,47,1,7,1,1,1,2,1,2,9,1,2,9,999,100
28,.902493855,4/17/2023 17:09:50,4/17/2023 17:41:10,2,6,11,75,1,3,1,1,1,2,2,2,9,2,9,2,999,89
29,.567505989,4/18/2023 8:20:54,4/18/2023 8:39:04,1,2,1,48,2, ,2,1,1,1,1,1,2,9,2,9,100,999
30,.737097147,4/17/2023 17:33:19,4/17/2023 17:45:00,1,3,8,60,1,2,1,7,2,2,2,1,9,2,9,1,66,999
31,.972261039,4/18/2023 8:55:07,4/18/2023 9:18:20,1,4,5,78,1,1,2,1,1,1,1,2,2,9,2,9,999,50
32,.765503981,4/17/2023 17:47:00,4/17/2023 18:06:40,1,6,11,71,2, ,2,1,1,2,2,2,9,1,9,1,999,50
33,.77581099,4/17/2023 19:35:27,4/17/2023 19:51:59,1,3,2,55,1,98,2,1,1,1,1,2,2,9,1,9,999,50
34,1.106744904,4/17/2023 21:11:14,4/17/2023 21:23:19,1,3,11,71,1,4,1,1,1,2,2,2,9,1,9,1,999,50
35,.868472829,4/18/2023 8:56:08,4/18/2023 9:12:13,1,3,4,71,1,1,2,1,1,2,2,2,9,1,9,2,999,50
36,.757996883,4/17/2023 20:25:46,4/17/2023 20:37:46,1,2,8,66,1,1,2,1,1,1,1,1,1,9,1,9,90,999
37,.764934836,4/17/2023 17:18:03,4/17/2023 17:39:18,2,4,6,63,1,1,2,1,1,2,1,2,9,2,1,9,999,34
38,.724700769,4/17/2023 20:48:43,4/17/2023 21:05:54,1,2,6,76,1,1,2,1,1,1,1,2,1,9,2,9,999,90
39,.691605582,4/17/2023 19:39:23,4/17/2023 20:03:47,1,5,8,40,1,3,1,1,1,2,2,2,9,1,9,1,999,100
40,.762777287,4/18/2023 7:45:55,4/18/2023 7:57:15,2,4,9,62,2, ,2,1,1,2,1,1,9,1,1,9,71,999
41,1.001249529,4/17/2023 17:09:01,4/17/2023 17:21:00,2,3,10,35,1,2,1,1,1,2,1,1,9,1,2,9,97,999
42,.762637233,4/17/2023 19:18:16,4/17/2023 19:35:48,2,3,3,87,1,1,2,1,1,1,2,2,1,9,9,1,999,50
43,.788389165,4/17/2023 19:09:25,4/17/2023 19:28:47,1,2,6,69,2, ,3,1,1,2,2,1,9,1,9,1,60,999
44,.785766977,4/18/2023 7:05:15,4/18/2023 7:19:44,2,6,9,72,1,1,2,1,1,2,1,2,9,1,2,9,999,50
45,.886312898,4/17/2023 19:10:37,4/17/2023 19:26:26,1,4,10,80,1,1,2,1,1,1,1,1,2,9,2,9,100,999
46,.660128223,4/18/2023 8:43:13,4/18/2023 8:55:44,1,2,12,65,1,98,1,1,1,2,2,1,9,1,9,1,40,999
47,.789202524,4/17/2023 19:28:13,4/17/2023 19:34:21,1,2,6,41,1,2,1,1,1,2,2,2,9,1,9,1,999,66
48,.850787083,4/17/2023 20:27:27,4/17/2023 20:42:09,2,3,9,70,1,1,2,1,1,2,2,1,9,1,9,2,74,999
49,1.291048349,4/17/2023 17:31:44,4/17/2023 17:46:55,2,5,8,64,1,2,4,1,1,2,2,1,9,2,9,2,56,999
50,.736715127,4/17/2023 21:23:01,4/17/2023 21:46:17,2,6,2,76,1,1,2,1,1,2,1,1,9,2,1,9,47,999
51,1.440107343,4/18/2023 7:59:26,4/18/2023 8:29:45,1,2,2,42,1,2,4,1,1,2,1,2,9,1,1,9,999,50
52,.899146358,4/17/2023 21:53:10,4/17/2023 22:07:24,1,3,8,66,1,1,2,1,1,2,2,2,9,1,9,1,999,10
53,1.426072581,4/18/2023 6:11:30,4/18/2023 6:21:06,1,3,11,47,1,4,1,1,1,2,1,1,9,1,2,9,14,999
54,.780016195,4/17/2023 17:29:48,4/17/2023 17:49:20,2,4,9,65,1,1,1,1,1,2,2,1,9,1,9,1,100,999
55,.83235617,4/17/2023 17:26:59,4/17/2023 17:36:57,1,1,11,68,1,3,1,1,1,1,2,2,2,9,9,1,999,91
56,1.065502053,4/17/2023 19:15:01,4/17/2023 19:27:16,1,5,10,50,1,2,1,1,1,1,1,2,2,9,1,9,999,100
57,.688560375,4/17/2023 17:27:11,4/17/2023 17:42:20,1,1,2,62,1,1,2,1,1,2,1,2,9,2,1,9,999,50
58,1.310345071,4/17/2023 19:51:20,4/17/2023 20:08:27,1,4,5,48,1,1,2,1,1,2,2,1,9,1,9,1,10,999
