ID,starttime,endtime,age,profile_gender,profile_socialgrade_cie,profile_GOR,voted_ge_2019,pastvote_ge_2019,pastvote_EURef,ethnicity_new,ethnicity_rc,Weight,RUK1,RUK2,RUK2_1,RUK2_2,RUK2_3,RUK2_4,RUK2_5,RUK3,RUK3_1,RUK3_2,RUK3_3,RUK4
1,11/07/2022,11/07/2022,67,1,1,6,1,1,2,1,1,0.732275499,2,1,3,3,2,2,2,1,3,3,3,2
2,11/07/2022,11/07/2022,65,1,5,5,1,1,2,1,1,0.844004296,3,1,3,2,2,2,3,1,3,3,3,3
3,11/07/2022,11/07/2022,61,1,5,9,1,3,1,1,1,0.923194839,2,1,2,2,1,2,1,1,3,3,3,3
4,11/07/2022,11/07/2022,60,2,2,3,1,3,3,1,1,1.006191889,5,1,1,2,1,1,1,1,4,3,3,3
5,11/07/2022,11/07/2022,60,1,5,10,2, ,1,1,1,0.660857451,3,1,1,1,2,2,1,1,4,4,4,3
6,11/07/2022,11/07/2022,91,1,3,6,1,3,1,1,1,0.71015953,2,1,3,2,4,2,4,1,1,2,2,3
7,11/07/2022,11/07/2022,61,1,2,3,1,1,2,19, ,0.969862274,4,1,3,3,4,2,2,1,3,3,3,2
8,11/07/2022,11/07/2022,53,1,1,8,1,3,2,1,1,1.116043594,2,1,2,3,1,1,3,1,2,2,2,3
9,11/07/2022,11/07/2022,55,1,3,9,1,1,2,1,1,0.915593576,4,1,1,3,1,1,1,1,3,3,5,2
10,11/07/2022,11/07/2022,70,1,3,3,1,1,1,1,1,0.713709372,2,1,2,3,1,3,1,1,3,3,3,3
11,11/07/2022,11/07/2022,57,2,2,8,1,2,1,1,1,0.648267282,2,1,1,2,1,1,1,1,3,3,3,3
12,11/07/2022,11/07/2022,59,1,3,6,1,1,2,1,1,0.996851927,3,1,2,2,4,2,4,1,3,3,3,3
13,11/07/2022,11/07/2022,73,1,4,3,1,1,2,1,1,0.982128965,3,1,1,1,1,1,1,1,2,2,4,3
14,11/07/2022,11/07/2022,58,2,6,11,1,4,1,1,1,0.800729232,2,1,1,3,1,1,1,1,2,1,1,3
15,11/07/2022,11/07/2022,46,1,1,1,1,1,2,1,1,0.766091289,3,1,1,2,1,2,1,1,3,3,4,3
16,11/07/2022,11/07/2022,49,2,2,5,99, ,3,4,1,1.046249944,2,1,3,2,2,2,2,1,4,4,3,3
17,11/07/2022,11/07/2022,46,1,2,8,1,2,2,1,1,0.655321688,2,1,1,3,2,3,3,1,3,3,3,3
18,11/07/2022,11/07/2022,47,1,5,4,1,1,2,1,1,1.64136949,4,1,1,3,1,1,1,1,4,4,3,3
19,11/08/2022,11/08/2022,68,2,4,8,2, ,2,1,1,1.483698062,2,1,3,4,4,4,4,1,3,3,3,3
20,11/07/2022,11/07/2022,67,2,1,2,1,7,1,1,1,0.801728064,2,1,2,2,3,3,3,1,4,3,4,3
21,11/07/2022,11/07/2022,47,1,2,5,1,2,1,1,1,1.209814215,2,1,1,3,2,2,2,1,5,5,5,3
22,11/07/2022,11/07/2022,74,1,2,3,1,6,2,1,1,0.576214576,2,1,3,2,1,3,2,1,2,2,4,2
23,11/08/2022,11/08/2022,68,2,3,3,2, ,2,1,1,1.407659819,2,1,2,2,1,2,1,1,3,3,3,4
24,11/07/2022,11/07/2022,58,1,2,6,1,3,1,1,1,0.856583819,3,1,3,3,2,1,1,1,3,3,3,1
25,11/07/2022,11/07/2022,49,1,3,1,1,1,2,1,1,0.81461115,3,1,1,2,1,1,1,1,4,5,5,3
26,11/07/2022,11/07/2022,42,2,2,8,1,2,1,1,1,0.728487871,3,1,3,3,2,3,2,1,4,3,4,3
